en;jp
Unlocks;アンロック：
Locks;ロック：
AND;AND
OR;OR
__1__ __plural_for_parameter_1_{1=day|rest=days}__;__1__日
__1__ __plural_for_parameter_1_{1=hour|rest=hours}__;__1__時間
__1__ __plural_for_parameter_1_{1=minute|rest=minutes}__;__1__分
__1__ __plural_for_parameter_1_{1=second|rest=seconds}__;__1__秒
/s;/s
/m;/m
:;：
k;k
M;M
G;緑
T;T
P;P
E;E
Z;Z
Y;Y
W;W
J;J
km/h;km/h
__1__ ms;__1__ ミリ秒
__1__ s;__1__ 秒
__1__ m;__1__ 分
__1__ h;__1__ 時間
__1__s;__1__秒
__1__m;__1__分
__1__h;__1__時間
None;None
__1__ px;__1__ px
__1__°;__1__°
__1__ °C;__1__ °C
__1__°C;__1__°C
__1__ kB/s;__1__ kB/s
__1__ MB/s;__1__ MB/s
__1__ GB/s;__1__ GB/s
Not enough ingredients.;必要な材料が不足しています。
This recipe cannot be crafted by hand.;このレシピを手で作る事はできません。
This recipe is too complex to be crafted by hand.;このレシピは手動製作するためには複雑すぎます。
Left the vehicle.;降車
Entered the vehicle.;乗車
Vehicle is full.;トランクが満杯です。
This cannot be damaged.;ダメージを与えることはできません。
This cannot be mined.;採掘不可
This cannot be rotated.;回転できません。
Enemy structures cannot be repaired.;敵の建築物を修理することはできません。
This cannot be mined while anyone is in it.;中にプレイヤーがいるので回収できません。
Enemy structures cannot be mined.;敵の建築物を回収することはできません。
Cannot open enemy structures.;敵の構造物を開くことはできません。
Cannot transfer to enemy structures.;敵の構造物へ転送することはできません。
Cannot transfer from enemy structures.;敵の構造物から転送することはできません。
Cannot rotate enemy structures.;敵の構造物は回転できません。
Cannot copy settings from enemy structures.;敵の構造物からコピーすることはできません。
Cannot paste settings to enemy structures.;敵の構造物にペーストすることはできません。
Enemy wires cannot be changed.;敵のワイヤーは変更できません。
Cannot enter enemy vehicles.;敵の車両には乗れません。
The character "__1__" cannot be part of the file name.;ファイル名に"__1__" という文字を含めることはできません。
File name too long. (Max __1__ characters);ファイル名が長すぎます。(最大 __1__ 文字)
Invalid character in the file name.;ファイル名に無効な文字が含まれています。
The file name is empty.;ファイル名が空です。
The stop name is empty;駅名が空です
The train stop name (__1__ characters) cannot be longer than __2__ characters.;駅名(__1__文字) は __2__文字以内で指定してください。
The tag name (__1__ characters) cannot be longer than __2__ characters.;タグ(__1__文字)は__2__文字以内で指定してください。
Reload script data is too large: __1__ > __2__.;リロードスクリプトデータが大きすぎます: __1__ > __2__
Stop;無名停車駅
This control has to be mouse-related.;この操作はマウスに関連付ける必要があります。
This control has to be keyboard-related.;この操作はキーボードと関連付ける必要があります。
This control has to be from a mouse wheel.;マウスホイールから行う必要があります。
This control has to be from a controller button.;コントローラボタンから行う必要があります。
This control has to be from a controller trigger button.;コントローラのトリガーボタンから行う必要があります。
This control has to be from a controller stick.;コントローラスティックから行う必要があります。
No path;到達経路が見つかりません。
[img=utility/warning_icon] Destination full __1__;[img=utility/warning_icon]__1__の列車数が上限
Not enough rails;レールが不足しています
You cannot set this filter: __1__;__1__をフィルターに設定することはできません
You cannot modify requests when they are set by the circuit network.;回路ネットワークで設定している場合は、要求を変更できません。
__1__ is already requested in a different slot.;__1__ はすでに別のスロットで要求されています。
__1__ is already filtered in a different slot.;__1__は既に違うスロットでフィルター設定されています。
__1__ is already set in a different slot.;__1__は既に違うスロットに設定されています。
Cannot connect rolling stock: not in vehicle.;車両外から車両を連結することはできません。
Cannot connect rolling stock: not in rolling stock.;車両外から車両を連結することはできません。
Cannot connect rolling stocks: rolling stocks too close to each other.;鉄道車両同士が近すぎるため連結できません。
Rolling stock connected.;車両が接続されました。
No rolling stock found to connect.;連結する鉄道車両がありません。
Cannot disconnect rolling stock: not in vehicle.;車両外から車両を切り離すことはできません。
Cannot disconnect rolling stock: not in rolling stock.;車両外から車両を切り離すことはできません。
Rolling stock disconnected.;車両を切り離しました。
No rolling stock found to disconnect.;切り離す鉄道車両がありません。
Not enough space to connect train.;鉄道を連結するためのスペースが足りません.
This cannot be mined by hand because it requires __1__.;採掘するためには__1__が必要なため、手で採掘することはできません。
Unknown command __1__;不明なコマンド __1__
Player __1__ doesn't exist.;__1__ は存在しません。
__1__ isn't online.;__1__ はオンラインではありません。
Replay saving disabled: map saved with version __1__ and current version is __2__.;リプレイの保存が無効です。起動中のバージョン (__2__) と異なるバージョン (__1__) で保存されたマップです。
Replay saving disabled: map save has different mod settings.;リプレイの保存が無効です。MODの設定が異なります。
Replay saving disabled: map save has different mod startup settings.;リプレイの保存が無効です。MODのスタートアップ設定が異なります。
Replay saving disabled: map migration(s) have been applied.;リプレイの保存が無効です。マップ移行が適用されています。
Replay saving has been disabled as the user forced prototype changed loading mode.;ユーザーが変更されたプロトタイプのロードを強制したため、再生の記録が無効になりました。
Replay saving has been disabled.;リプレイのセーブが無効です、
Replays are currently disabled because autoplace specifications have been changed during runtime.;ランタイム中に自動資源配置の仕様が変更されたので、リプレイは現在無効になっています。
No one to reply to.;応答がありません。
Loading mods;Mod を読込中
Building sprite atlas...;スプライトアトラスを構築中…
Building prototypes...;プロトタイプを構築中…
Checking sprites...;スプライトをチェック中…
Cropping bitmaps...;ビットマップをトリミング中...
Loading sprites...;スプライトを読込中…
Loading sounds...;音声を読込中…
Base Mod is required to run the game, but it is currently disabled. Do you want to enable it?;Base Modはゲームを実行するのに必要ですが、現在無効化されています。有効化しますか？
Base Mod is required to run the game, but it is currently invalid.;Base Modはゲームを実行するのに必要ですが、現在無効になっています。
